STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,EDUCATION_LEV,Education level,EXP_SOURCE,Financing source,EXP_DESTINATION,Destination of expenditure,EXPENDITURE_TYPE,Type of expenditure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,Q_SHEET,Questionnaire sheet,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period,Q_SHEET_ROW_ID,Questionnaire row ID
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CRI,Costa Rica,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2019,,17.9534387652652,,W,Includes data from another category,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,JPN,Japan,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2021,,7.08624075175883,,W,Includes data from another category,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,JPN,Japan,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2020,,7.11919122226011,,W,Includes data from another category,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,PER,Peru,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,PER,Peru,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IND,India,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,GRC,Greece,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CRI,Costa Rica,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,OECD,OECD,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2022,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,DNK,Denmark,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2015,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2018,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2015,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CRI,Costa Rica,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2022,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2018,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,GRC,Greece,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,TUR,Türkiye,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2015,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IND,India,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2018,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IND,India,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,PER,Peru,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2015,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IDN,Indonesia,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2020,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IDN,Indonesia,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2019,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IDN,Indonesia,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2018,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IDN,Indonesia,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IDN,Indonesia,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2020,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2019,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2018,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,CHN,China (People’s Republic of),EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2015,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IND,India,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2018,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IND,India,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,IND,India,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2022,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2018,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2017,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,G20,G20,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2016,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SHARE_EDU_GOV(3.0),Share of total government expenditure on education,I,SAU,Saudi Arabia,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,_T,Total,_T,Total - all expenditure types,_Z,Not applicable,PT_OTE_S13,Percentage of general government expenditure,_Z,Not applicable,2021,,,,O,Missing value,0,Units,1,One,,,_Z,Not applicable
